"title","subtitle","sentence","page","line_num","source"
"F.C.M 교량공사 안전보건작업 지침.pdf","1. 목 적","이 지침은 산업안전보건기준에 관한 규칙 제 42조제49조, 제133조제150조, 제369조, 제328조제337조의 규정에 의거 콘크리 트 구조물 교량공사의 안전한 작업방법 및 추락, 낙하, 붕괴, 감전 등의 재해를 예방하기 위하여 필요한 작업 단계별 안전사항 및 안전시설에 관 한 기술적 사항 등을 정함을 목적으로 한다.","3","35","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","2. 적용범위","이 지침은 바닥으로부터 동바리를 사용하지 않고 교각위 주두부를 시공한 후 교각 양쪽의 교축방향으로 특수한 가설장비를 이용해 좌우로 하중의 균형을 맞추면서 세그먼트의 콘크리트 타설, 프리스트레싱 도입을 순차적으로 반복하여 교량 상부 구조를 완성하는 현장타 설 F.C.M 공법에 적용한다.","3","42","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","2. 적용범위","그림 1 F.C.M 교량시공 전경 그림 2 F.C.M 개념도","3","42","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","이 지침에서 사용되는 용어의 정의는 다음과 같다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","F.C.M 공법이라 함은 동바리 없이 기 시공되 어 있는 교각을 이용하여 교각의 좌 우로 하중의 균형을 맞추면서 이동 식 작업대차나 이동식 가설 트러스를 이 용하여 3m 5m 길이의 세그먼트를 순차적으로 콘크리트 타설, 프리스트레싱 도입을 반복하여 교각과 교각 사이의 경간 중앙 연결부에 도달하여 교량 상부 구조를 완성하는 공법을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","이동식 작업대차라 함은 상부구조를 고정점 으로부터 점진적으로 가설할 때에 캔틸레버 끝단에 세그먼트 를 시공하기 위한 거푸집과 작업대 등을 지지하는 장치를 말하며, 이 장 치는 전후방으로 쉽게 이동시킬 수 있는 구조이어야 한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","이동식 작 업대차 내에는 각종 유압식 또는 기계식의 잭이나 고정 장치가 설치되어 있으며, 타설되는 콘크리트 무게에 충분히 견딜 수 있도록 설계되어야 한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","주두부라 함은 교량 상부공을 전진 가설하기 위해 주탑에 먼저 시공되는 상부공을 말하며, 이 위에 이동식 작업대차를 설치하여 전 진 가설을 시작하게 된다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","세그먼트라 함은 교량상부공을 여러 개의 부재를 연결하여 시공하는 경우 한단위의 조각 또는 부재를 말하며, F.C.M 공법에서는 이 동식 작업대차에 설치된 거푸집을 이용하여 제작할 수 있다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","키 세그먼트라 함은 서로 다른 형태의 두 교량을 연결하 거나, 서로 같은 두 캔틸레버를 연결 시공하는 마지막 세그먼트를 말하 며, 클로저 조인트라고도 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
